,Time,Ethereum Volume
405,1621468800000,117905041184.06494
406,1621555200000,92538167827.51727
407,1621641600000,115000901891.803
408,1621728000000,102524751568.4531
409,1621814400000,77839858613.53922
410,1621900800000,73496058830.83229
411,1621987200000,92468701273.98392
412,1622073600000,53115222704.62064
413,1622160000000,44070236220.034096
414,1622246400000,49493519120.23643
415,1622332800000,47141249182.27268
416,1622419200000,37392021393.940125
417,1622505600000,44445830387.932175
418,1622592000000,39898648753.4186
419,1622678400000,39148856525.29615
420,1622764800000,38104663185.40115
421,1622851200000,39996583175.266685
422,1622937600000,34731979704.601685
423,1623024000000,29050162248.93885
424,1623110400000,37385872210.25046
425,1623196800000,48344195673.521126
426,1623283200000,43973432438.082634
427,1623369600000,33075957436.760677
428,1623456000000,26751786966.47868
429,1623542400000,28235882061.70689
430,1623628800000,29382118964.283043
431,1623715200000,28128172338.347244
432,1623801600000,26803957680.025055
433,1623888000000,26150320394.527775
434,1623974400000,25708624827.013702
435,1624060800000,26204484920.993828
436,1624147200000,20456963374.959637
437,1624233600000,26235850446.54907
438,1624320000000,39499960407.7835
439,1624406400000,38755019936.85197
440,1624492800000,28098744044.509525
441,1624579200000,22447489241.67468
442,1624665600000,25981381067.41728
443,1624752000000,24249510320.705112
444,1624838400000,24316408028.131123
445,1624924800000,30629329805.72042
446,1625011200000,27149143846.958942
447,1625097600000,29046221905.503418
448,1625184000000,25874247678.48856
449,1625270400000,22869223901.008
450,1625356800000,19954299562.699074
451,1625443200000,21119209512.99698
452,1625529600000,22592756940.415127
453,1625616000000,24748897613.709663
454,1625702400000,23352988376.91004
455,1625788800000,24133566100.864506
456,1625875200000,22262234450.01033
457,1625961600000,18091111748.440804
458,1626048000000,14249909363.131065
459,1626134400000,16403901753.797194
460,1626220800000,18210922217.703205
461,1626307200000,20007437042.5854
462,1626393600000,17978198759.76909
463,1626480000000,17448403933.724445
464,1626566400000,14920352990.216908
465,1626652800000,15355055465.803198
466,1626739200000,15768554506.425838
467,1626825600000,20634025154.91444
468,1626912000000,25849497421.028152
469,1626998400000,21655718476.41885
470,1627084800000,20760571836.05241
471,1627171200000,19333415460.111233
472,1627257600000,16557827418.503304
473,1627344000000,35197538271.146904
474,1627430400000,28862032737.553215
475,1627516800000,23171592869.594303
476,1627603200000,18266719970.961597
477,1627689600000,24040211451.365524
478,1627776000000,21579519281.279892
479,1627862400000,25689002090.279446
480,1627948800000,26664958251.58228
481,1628035200000,26304380467.43418
482,1628121600000,29356647318.25012
483,1628208000000,37970347683.56547
484,1628294400000,30876444992.275696
485,1628380800000,38870720439.186905
486,1628467200000,34209269717.32262
487,1628553600000,38510599666.551865
488,1628640000000,30456934757.02111
489,1628726400000,28540625893.874588
490,1628812800000,28111908833.730755
491,1628899200000,25989682658.6423
492,1628985600000,21723717067.76398
493,1629072000000,24412292890.901497
494,1629158400000,25922917846.046463
495,1629244800000,28303010380.704197
496,1629331200000,23192419118.647858
497,1629417600000,20590444717.44903
498,1629504000000,22079051284.799744
499,1629590400000,19339185909.36738
500,1629676800000,17023426890.400778
501,1629763200000,22119621924.56181
502,1629849600000,23531754575.679913
503,1629936000000,20438475652.044525
504,1630022400000,18755498273.80065
505,1630108800000,18470749435.075993
506,1630195200000,13957284069.585827
507,1630281600000,14110206249.483368
508,1630368000000,21741061738.593838
509,1630454400000,32201644522.644287
510,1630540800000,34465100677.998825
511,1630627200000,28115776510.367878
512,1630713600000,30463347266.426533
513,1630800000000,24002848309.4245
514,1630886400000,19760598542.300426
515,1630972800000,20190616165.855145
516,1631059200000,42541561062.44531
517,1631145600000,34175479497.51584
518,1631232000000,25796050344.025276
519,1631318400000,24111446202.204918
520,1631404800000,19742335705.039883
521,1631491200000,18149841767.144417
522,1631577600000,25897933725.98018
523,1631664000000,21080767347.82575
524,1631750400000,18985547836.191357
525,1631836800000,22391476966.877094
526,1631923200000,19039612529.444134
527,1632009600000,16278153590.132133
528,1632096000000,14500103698.494116
529,1632182400000,28477674119.56528
530,1632268800000,32062935710.168865
531,1632355200000,27084409011.05875
532,1632441600000,19536554032.084408
533,1632528000000,28504692815.75815
534,1632614400000,22533679023.57236
535,1632700800000,24916718280.69273
536,1632787200000,20890327693.72457
537,1632873600000,18975426962.499523
538,1632960000000,17522543131.581055
539,1633046400000,19400423828.622337
540,1633132800000,24368105704.246353
541,1633219200000,21335051735.331825
542,1633305600000,18130363405.685154
543,1633392000000,19898468513.475533
544,1633478400000,19024921944.49268
545,1633564800000,24709364134.235626
546,1633651200000,21186801824.571068
547,1633737600000,18144469093.779636
548,1633824000000,13815631715.44782
549,1633910400000,18106607784.26291
550,1633996800000,20424407322.58066
551,1634083200000,20207646949.24054
552,1634169600000,18300885349.637314
553,1634256000000,21679175672.91577
554,1634342400000,23144188055.382
555,1634428800000,18154520779.65643
556,1634515200000,17263171427.44574
557,1634601600000,18931081929.44796
558,1634688000000,17449609317.97657
559,1634774400000,21926381355.419468
560,1634860800000,50122173541.0596
561,1634947200000,21674013294.746418
562,1635033600000,16499701301.345774
563,1635120000000,16494229912.456104
564,1635206400000,17031857290.344103
565,1635292800000,18925943956.175625
566,1635379200000,28770879596.15931
567,1635465600000,29989860066.02069
568,1635552000000,25462638679.97447
569,1635638400000,15937401968.575453
570,1635724800000,18516249996.186913
571,1635811200000,19235929520.306248
572,1635897600000,22135519614.732147
573,1635984000000,22744538221.14315
574,1636070400000,19583405367.2671
575,1636156800000,16182205113.440348
576,1636243200000,17697965751.156593
577,1636329600000,14665949273.051767
578,1636416000000,21226347241.356174
579,1636502400000,20669583046.287785
580,1636588800000,25152889711.576366
581,1636675200000,19048319256.420074
582,1636761600000,20883749031.792934
583,1636848000000,13954188613.807226
584,1636934400000,13927559432.546179
585,1637020800000,17939105212.670113
586,1637107200000,30162258590.6919
587,1637193600000,23532734478.929985
588,1637280000000,23825764061.571724
589,1637366400000,21398451638.777546
590,1637452800000,16407598047.996004
591,1637539200000,15090104727.278082
592,1637625600000,21563803786.49851
593,1637712000000,23393688031.318764
594,1637798400000,19881953842.36485
595,1637884800000,20241529505.687588
596,1637971200000,29276733766.839596
597,1638057600000,16500509901.66011
598,1638144000000,17408610005.868984
599,1638230400000,20150915710.995937
600,1638316800000,31531135168.773865
601,1638403200000,27957934803.559887
602,1638489600000,22586539837.216267
603,1638576000000,27620915094.003757
604,1638662400000,40547950440.47308
605,1638748800000,25848780907.958004
606,1638835200000,30676805365.753136
607,1638921600000,21808603057.7599
608,1639008000000,19661953642.45195
