,Time,Fantom Market Cap
233,1606608000000,49203432.81670515
234,1606694400000,48644879.24627147
235,1606780800000,53166762.17954516
236,1606867200000,51955655.22738073
237,1606953600000,57450527.18292635
238,1607040000000,58017026.281603806
239,1607126400000,53352405.376013175
240,1607212800000,56987780.00533286
241,1607299200000,55554538.140971094
242,1607385600000,55231586.81604279
243,1607472000000,48810793.09126599
244,1607558400000,49979665.57453976
245,1607644800000,50844080.32015316
246,1607731200000,46892054.79625107
247,1607817600000,48529891.09030404
248,1607904000000,50345685.576900795
249,1607990400000,53257782.484112754
250,1608076800000,53290406.413030505
251,1608163200000,52912801.56810863
252,1608249600000,49729266.02764974
253,1608336000000,51134258.63358184
254,1608422400000,52576084.85392361
255,1608508800000,53033202.60108385
256,1608595200000,48514872.86565693
257,1608681600000,48216876.44160555
258,1608768000000,42071532.202975616
259,1608854400000,44316384.20167586
260,1608940800000,43642735.383380786
261,1609027200000,42359473.0409128
262,1609113600000,42899226.42641533
263,1609200000000,44657092.791750155
264,1609286400000,41835066.23023177
265,1609372800000,42301996.94762403
266,1609459200000,42814464.590924114
267,1609545600000,43563937.6189555
268,1609632000000,41656186.5258822
269,1609718400000,48505439.489953086
270,1609804800000,50725082.88859707
271,1609891200000,52090457.08973852
272,1609977600000,61195992.046045415
273,1610064000000,60573579.66507653
274,1610150400000,67087846.722025484
275,1610236800000,70289296.62992914
276,1610323200000,64755941.485624656
277,1610409600000,55998547.46865873
278,1610496000000,55687143.243508756
279,1610582400000,60566693.15405299
280,1610668800000,62298630.64302445
281,1610755200000,67419921.47841628
282,1610841600000,72889096.40417391
283,1610928000000,76725203.80058779
284,1611014400000,75476855.03554332
285,1611100800000,72266366.94006984
286,1611187200000,72322265.4256977
287,1611273600000,68253651.1899818
288,1611360000000,68379113.61217539
289,1611446400000,104017198.57830942
290,1611532800000,141379889.4885606
291,1611619200000,134007926.30806781
292,1611705600000,185468252.4101554
293,1611792000000,211904579.36360106
294,1611878400000,307827220.20572203
295,1611964800000,331142940.0525471
296,1612051200000,332565965.2619008
297,1612137600000,305760160.9069939
298,1612224000000,271024075.90514064
299,1612310400000,325618669.3686876
300,1612396800000,334059656.79285145
301,1612483200000,346445402.64414006
302,1612569600000,404408094.93332875
303,1612656000000,358303924.4825872
304,1612742400000,334689340.51279145
305,1612828800000,375144307.99084914
306,1612915200000,380505331.7399805
307,1613001600000,354224851.81067026
308,1613088000000,454089166.5980409
309,1613174400000,469447513.4832306
310,1613260800000,460141389.3312808
311,1613347200000,432438149.89036477
312,1613433600000,442068513.1268987
313,1613520000000,437163196.6473599
314,1613606400000,420429686.6666199
315,1613692800000,533248314.8907286
316,1613779200000,636863860.4257147
317,1613865600000,582681195.5596554
