,Time,Tron Market Cap
338,1615680000000,3800609103.56799
339,1615766400000,3699452761.8381224
340,1615852800000,3660692716.0274587
341,1615939200000,3755016761.291999
342,1616025600000,3938568722.0062304
343,1616112000000,3841386172.2764583
344,1616198400000,4205777176.511496
345,1616284800000,4404127333.143486
346,1616371200000,4496790311.039346
347,1616457600000,4324110290.312447
348,1616544000000,4192817484.5414968
349,1616630400000,3998235094.435589
350,1616716800000,3969212223.917802
351,1616803200000,4651159604.35038
352,1616889600000,4581531841.022868
353,1616976000000,4548184792.017738
354,1617062400000,4645040066.718666
355,1617148800000,4720243691.524327
356,1617235200000,6602014663.817924
357,1617321600000,6185926428.28518
358,1617408000000,6571170922.982676
359,1617494400000,7321302883.804311
360,1617580800000,9144431642.185305
361,1617667200000,9985858390.58741
362,1617753600000,8954301783.333271
363,1617840000000,8072075620.142329
364,1617926400000,8877512597.775274
365,1618012800000,8323623723.444961
366,1618099200000,8984059739.508492
367,1618185600000,8760333395.52753
368,1618272000000,9304010445.66194
369,1618358400000,10571945441.651176
370,1618444800000,10102158667.4595
371,1618531200000,11920662705.12879
372,1618617600000,11604718444.323174
373,1618704000000,11380541777.061522
374,1618790400000,10328002951.285501
375,1618876800000,9494239584.039474
376,1618963200000,9627774435.793669
377,1619049600000,8977823783.701883
378,1619136000000,8008308065.66524
379,1619222400000,7784971769.666302
380,1619308800000,7457306852.708662
381,1619395200000,7292450219.714095
382,1619481600000,8387871727.818096
383,1619568000000,8989772465.637968
384,1619654400000,8809878815.064253
385,1619740800000,8707261812.719328
386,1619827200000,9546012982.734024
387,1619913600000,9420061426.11783
388,1620000000000,9176253785.15634
389,1620086400000,9500388148.329071
390,1620172800000,8675220195.321266
391,1620259200000,10414186273.062275
392,1620345600000,11004086596.476631
393,1620432000000,10631125309.042025
394,1620518400000,10317213557.183372
395,1620604800000,10302446039.802053
396,1620691200000,9241591409.700556
397,1620777600000,9923964017.035343
398,1620864000000,8955002389.058695
399,1620950400000,8690302697.414581
400,1621036800000,8971385976.220955
401,1621123200000,8668229957.837837
402,1621209600000,8620460401.848167
403,1621296000000,8129039310.443459
404,1621382400000,8322538056.060673
405,1621468800000,5834723566.144909
406,1621555200000,6347003817.446217
407,1621641600000,5582016411.339455
408,1621728000000,5450991930.687521
409,1621814400000,4530422034.356253
410,1621900800000,5475573806.074912
411,1621987200000,5543073326.120173
412,1622073600000,5967427568.932064
413,1622160000000,5698072904.151841
414,1622246400000,5187727440.306805
415,1622332800000,5004185663.262715
416,1622419200000,5155571503.74169
417,1622505600000,5494058081.782099
418,1622592000000,5463441274.013716
419,1622678400000,5599744889.2336855
420,1622764800000,5913437587.926436
421,1622851200000,5554875169.509279
422,1622937600000,5404695948.4041395
423,1623024000000,5553151901.878104
424,1623110400000,5152302964.29092
425,1623196800000,5216586928.359107
426,1623283200000,5421720344.375081
427,1623369600000,5239213294.061656
428,1623456000000,4963608016.008687
429,1623542400000,4916900919.6082
430,1623628800000,5120134373.508309
431,1623715200000,5169738716.406862
432,1623801600000,5182420474.568162
433,1623888000000,4923291263.627463
434,1623974400000,5247046796.732062
435,1624060800000,4995449426.765038
436,1624147200000,4930616492.881324
437,1624233600000,4875524580.356112
438,1624320000000,3919274138.4753437
439,1624406400000,3629554725.0777845
440,1624492800000,4048273503.481018
441,1624579200000,4747308297.15922
442,1624665600000,4472857471.687662
443,1624752000000,4482614281.730644
444,1624838400000,4644707064.650472
445,1624924800000,4680048542.361799
446,1625011200000,4877122312.66533
447,1625097600000,4891857389.270165
448,1625184000000,4656219826.830843
