,Time,Cronos Volume
373,1618704000000,284629970.33683324
374,1618790400000,342191292.08470166
375,1618876800000,225214395.6117528
376,1618963200000,244951630.81782964
377,1619049600000,133362258.28228514
378,1619136000000,194187394.58662707
379,1619222400000,283461187.5911316
380,1619308800000,117924278.03294592
381,1619395200000,118145170.75298744
382,1619481600000,143870969.7974937
383,1619568000000,140731756.97776023
384,1619654400000,195311286.27955025
385,1619740800000,98287735.89050867
386,1619827200000,160659283.43211412
387,1619913600000,89337669.94919544
388,1620000000000,103647935.77839689
389,1620086400000,108450820.70679335
390,1620172800000,142880439.79210293
391,1620259200000,182079112.78838858
392,1620345600000,169884196.11139545
393,1620432000000,162032643.32994777
394,1620518400000,154720003.5311832
395,1620604800000,178241778.0411503
396,1620691200000,193389510.1768587
397,1620777600000,188025527.0134334
398,1620864000000,136269871.86804494
399,1620950400000,182931696.46608037
400,1621036800000,107384513.50456461
401,1621123200000,86265804.85787526
402,1621209600000,96410422.1664296
403,1621296000000,106639905.20663993
404,1621382400000,80579451.26945212
405,1621468800000,289217669.7620283
406,1621555200000,115010931.7101076
407,1621641600000,132368569.14262389
408,1621728000000,104986251.66124801
409,1621814400000,107088571.86802626
410,1621900800000,119284886.56580967
411,1621987200000,116484046.78034113
412,1622073600000,109748681.2661303
413,1622160000000,82123412.43089673
414,1622246400000,74463839.20957068
415,1622332800000,70346169.36899379
416,1622419200000,76740228.30479494
417,1622505600000,98827917.73323973
418,1622592000000,75698411.75766577
419,1622678400000,78741736.66977628
420,1622764800000,63488633.58090654
421,1622851200000,62218719.11856111
422,1622937600000,53346618.949169695
423,1623024000000,55464055.90286909
424,1623110400000,63256819.73957547
425,1623196800000,65837540.49453983
426,1623283200000,60447322.67690266
427,1623369600000,46695708.09156248
428,1623456000000,44449386.51926412
429,1623542400000,54680112.03317622
430,1623628800000,53440986.80870688
431,1623715200000,52349816.7347631
432,1623801600000,47791335.34440306
433,1623888000000,58614893.825308815
434,1623974400000,47410417.04975945
435,1624060800000,48396608.3359861
436,1624147200000,48461941.55431131
437,1624233600000,49041666.32192868
438,1624320000000,59651235.965588406
439,1624406400000,71828192.54742399
440,1624492800000,54274549.60870571
441,1624579200000,49565082.245572485
442,1624665600000,55962950.820246756
443,1624752000000,65418462.68914865
444,1624838400000,69126675.80776417
445,1624924800000,59938276.934679486
446,1625011200000,58677454.24008596
447,1625097600000,61058305.4428229
448,1625184000000,66013692.7465651
449,1625270400000,48261807.1479663
450,1625356800000,49701101.88070617
451,1625443200000,44725699.94506416
452,1625529600000,52380507.016833566
453,1625616000000,149822305.76434034
454,1625702400000,66763921.831979826
455,1625788800000,46502035.34933112
456,1625875200000,50487763.88454424
457,1625961600000,34778644.620936155
458,1626048000000,57284938.09279818
459,1626134400000,40886829.65495684
460,1626220800000,47469591.652489886
461,1626307200000,154001153.30735075
462,1626393600000,47736885.38581277
463,1626480000000,47408668.03841053
464,1626566400000,36343010.42935976
465,1626652800000,33089784.038205694
466,1626739200000,29562274.818139803
467,1626825600000,45095319.134603016
468,1626912000000,38042124.90637281
469,1626998400000,36324775.02882901
470,1627084800000,45065096.70495084
471,1627171200000,39824786.22520561
472,1627257600000,42329456.90709053
473,1627344000000,54267432.71459555
474,1627430400000,33524903.93281455
475,1627516800000,43150001.938137464
476,1627603200000,31162412.433926944
477,1627689600000,55763778.457777955
478,1627776000000,30019294.80649659
479,1627862400000,28175787.682638254
480,1627948800000,48358572.485451415
481,1628035200000,27064602.463623367
482,1628121600000,32879502.44798418
483,1628208000000,45642657.75831972
484,1628294400000,40821645.338811375
485,1628380800000,47370834.4655133
486,1628467200000,38958170.94884387
487,1628553600000,36069798.198503055
488,1628640000000,39980966.50862429
489,1628726400000,47139090.69072194
490,1628812800000,42888607.280906394
491,1628899200000,43561482.80993683
492,1628985600000,38510817.79805537
493,1629072000000,35344196.74615725
494,1629158400000,39884658.62675274
495,1629244800000,43341611.86977261
496,1629331200000,43562171.52101967
497,1629417600000,35137843.27004053
498,1629504000000,41637150.1956729
499,1629590400000,32235124.254765816
500,1629676800000,33183659.34899186
501,1629763200000,40017167.645129144
502,1629849600000,50081757.79110381
503,1629936000000,47118845.83967965
504,1630022400000,47118450.941713765
505,1630108800000,49768181.94271079
506,1630195200000,37972327.571457274
507,1630281600000,55333607.10363222
508,1630368000000,50762336.83233253
509,1630454400000,51907292.00359877
510,1630540800000,57973463.64042107
511,1630627200000,68694888.8023318
512,1630713600000,50438068.42056563
513,1630800000000,47348378.239409745
514,1630886400000,65196435.82726838
515,1630972800000,95949982.01329152
516,1631059200000,123025471.21572316
517,1631145600000,72030973.01825002
518,1631232000000,67834392.23057279
519,1631318400000,71205053.9226954
520,1631404800000,42801157.860373475
521,1631491200000,76553850.61934523
522,1631577600000,75588635.559528
523,1631664000000,48107725.3754437
524,1631750400000,53652275.81151027
525,1631836800000,65192956.19325183
526,1631923200000,132471162.58169313
527,1632009600000,45117967.67410544
528,1632096000000,39314319.86453304
529,1632182400000,88208721.9382789
530,1632268800000,64654800.521757424
