,Time,Binance Volume
193,1603152000000,292131231.6325848
194,1603238400000,366817435.25940573
195,1603324800000,378415820.34878945
196,1603411200000,363601027.96567017
197,1603497600000,310854925.1716537
198,1603584000000,230330957.9506717
199,1603670400000,213890436.16814473
200,1603756800000,347858958.9163765
201,1603843200000,418613518.2262594
202,1603929600000,344046319.3747321
203,1604016000000,274519364.77393854
204,1604102400000,374739907.4504778
205,1604188800000,256734113.1870628
206,1604275200000,237009570.97837183
207,1604361600000,280531334.2585679
208,1604448000000,315141928.44167733
209,1604534400000,268356799.9171577
210,1604620800000,319732745.8410764
211,1604707200000,351340615.5105792
212,1604793600000,379171084.87878275
213,1604880000000,350090761.52055746
214,1604966400000,367057927.76282877
215,1605052800000,319364158.02644795
216,1605139200000,310574387.24002296
217,1605225600000,291419186.2722597
218,1605312000000,311995951.6239633
219,1605398400000,278005831.2590616
220,1605484800000,275640282.474266
221,1605571200000,299723403.71419746
222,1605657600000,348152455.14384276
223,1605744000000,352337836.81396353
224,1605830400000,358451200.4430944
225,1605916800000,405663771.1299502
226,1606003200000,525345854.5300972
227,1606089600000,525885402.072846
228,1606176000000,542655453.1484727
229,1606262400000,1096295979.1698856
230,1606348800000,750470552.5857823
231,1606435200000,822530057.4413354
232,1606521600000,449165862.3846898
233,1606608000000,438446980.13024384
234,1606694400000,452491273.7054235
235,1606780800000,485785914.1281714
236,1606867200000,540539151.3051172
237,1606953600000,431345761.8952676
238,1607040000000,366696348.5469697
239,1607126400000,404722653.6812755
240,1607212800000,341090339.91534233
241,1607299200000,277581850.8680908
242,1607385600000,265602209.8179246
243,1607472000000,364433924.77309805
244,1607558400000,357146579.4139781
245,1607644800000,296247774.37832355
246,1607731200000,309358142.1115438
247,1607817600000,269415971.9404911
248,1607904000000,306303184.774815
249,1607990400000,395357036.7418401
250,1608076800000,341458022.6324174
251,1608163200000,414821464.63638496
252,1608249600000,549773127.6389786
253,1608336000000,411494715.5457899
254,1608422400000,656751764.5993361
255,1608508800000,732020161.0167117
256,1608595200000,713959772.0509456
257,1608681600000,667525756.72639
258,1608768000000,715085462.9995052
259,1608854400000,576913722.6583679
260,1608940800000,481229184.400561
261,1609027200000,507064929.03805727
262,1609113600000,678051299.7817285
263,1609200000000,722362992.9008424
264,1609286400000,1167579329.0255787
265,1609372800000,595689639.2379647
266,1609459200000,540443823.3416194
267,1609545600000,548599820.9229406
268,1609632000000,637202193.8641078
269,1609718400000,942962614.7706436
270,1609804800000,962253282.3266126
271,1609891200000,750006113.3520838
272,1609977600000,804566738.1656963
273,1610064000000,993406143.5104641
274,1610150400000,741620428.8442516
275,1610236800000,627647722.2753556
276,1610323200000,809936299.3155736
277,1610409600000,1050223987.9080731
278,1610496000000,652529246.5605841
279,1610582400000,597978132.5142691
280,1610668800000,599233551.3479655
281,1610755200000,644644087.6941874
282,1610841600000,685226682.5080959
283,1610928000000,782336096.7872308
284,1611014400000,642880517.4489744
285,1611100800000,925423978.3094243
286,1611187200000,773096223.0028383
287,1611273600000,727050005.3357811
288,1611360000000,529413658.3083043
289,1611446400000,530395845.22519046
290,1611532800000,511146060.00425243
291,1611619200000,570986736.9519608
292,1611705600000,610970650.8481272
293,1611792000000,571180935.5851054
294,1611878400000,602130391.232156
295,1611964800000,731044472.4984183
296,1612051200000,612389944.9645923
297,1612137600000,571098971.0226346
298,1612224000000,1473065904.0210793
299,1612310400000,1178306794.5116994
300,1612396800000,805552172.8087535
301,1612483200000,1102875237.6999419
302,1612569600000,1692097697.7534337
303,1612656000000,2640506902.149394
304,1612742400000,1818565577.6450298
305,1612828800000,2628386625.789472
306,1612915200000,5431056857.981953
307,1613001600000,8622001934.647383
308,1613088000000,3324064891.1252646
309,1613174400000,3522463018.7130527
310,1613260800000,2457588084.8798904
311,1613347200000,2534232231.1893573
312,1613433600000,2296763147.4066253
313,1613520000000,1815199476.0838852
314,1613606400000,5591312738.079581
315,1613692800000,8204647326.594336
316,1613779200000,22103516567.70705
317,1613865600000,13497538091.829664
318,1613952000000,11521772897.110415
319,1614038400000,10950701746.009872
320,1614124800000,10898388397.780983
321,1614211200000,10134020070.093115
322,1614297600000,6059743759.475165
323,1614384000000,6123362549.344084
324,1614470400000,4001793419.0135508
325,1614556800000,4576664599.820663
326,1614643200000,6899473970.603624
327,1614729600000,4755698486.399357
328,1614816000000,3989584025.1825523
329,1614902400000,3781405735.5510983
330,1614988800000,3454103781.3491554
331,1615075200000,2598241543.295976
332,1615161600000,3162878615.7866096
333,1615248000000,2849019958.220402
334,1615334400000,7151267268.285297
335,1615420800000,5812829337.948141
336,1615507200000,6352558452.7063
337,1615593600000,5561218339.339748
338,1615680000000,4184775401.814253
339,1615766400000,2855350574.9163504
340,1615852800000,3598800728.5660353
341,1615939200000,3576550131.748034
342,1616025600000,3265030827.437526
343,1616112000000,3575952239.2222
344,1616198400000,2533102777.7445188
345,1616284800000,2649156697.6590276
346,1616371200000,1151065647.843939
347,1616457600000,3032859503.594607
348,1616544000000,2813775574.1344523
349,1616630400000,3180619598.785246
350,1616716800000,3180524320.328139
351,1616803200000,2575952177.716034
