,Time,Polymath Market Cap
234,1606694400000,48534564.104826495
235,1606780800000,50173999.391571455
236,1606867200000,51441023.6920568
237,1606953600000,53389715.51116498
238,1607040000000,53600709.294927076
239,1607126400000,49631869.97228742
240,1607212800000,51442636.123374365
241,1607299200000,52194854.482940555
242,1607385600000,52321068.373208426
243,1607472000000,48364858.66311067
244,1607558400000,48147462.04707174
245,1607644800000,46909043.4113456
246,1607731200000,45436345.78555985
247,1607817600000,48681535.76910339
248,1607904000000,48524430.272767834
249,1607990400000,48476014.17987988
250,1608076800000,48192694.35977668
251,1608163200000,49300063.288875185
252,1608249600000,48096752.81547235
253,1608336000000,50252596.12270731
254,1608422400000,54659030.685132384
255,1608508800000,58084475.00433706
256,1608595200000,53530639.64648393
257,1608681600000,52919815.770456925
258,1608768000000,48025211.99095873
259,1608854400000,51917503.59702235
260,1608940800000,51802926.79374579
261,1609027200000,57953577.45081237
262,1609113600000,60250749.20502517
263,1609200000000,64790088.59351126
264,1609286400000,60994383.78841995
265,1609372800000,60872508.93926587
266,1609459200000,60449766.299051575
267,1609545600000,75797393.94083455
268,1609632000000,68342048.61218521
269,1609718400000,74164279.45964824
270,1609804800000,69743191.63023445
271,1609891200000,73967252.97042802
272,1609977600000,76269394.49321285
273,1610064000000,82326898.92796937
274,1610150400000,78529622.26724873
275,1610236800000,80707300.9857888
276,1610323200000,74865270.21490304
277,1610409600000,63794159.55125651
278,1610496000000,64802403.87755704
279,1610582400000,74115306.1017127
280,1610668800000,72009700.10020883
281,1610755200000,72202782.29959099
282,1610841600000,77654319.67324229
283,1610928000000,77149444.89396547
284,1611014400000,78198357.27493879
285,1611100800000,77167379.3892775
286,1611187200000,77805163.71854436
287,1611273600000,68576655.02414915
288,1611360000000,70397722.61446846
289,1611446400000,75912021.50073813
290,1611532800000,73397518.01328509
291,1611619200000,74674442.34053923
292,1611705600000,72077664.54102132
293,1611792000000,67128741.34537789
294,1611878400000,72250181.95257768
295,1611964800000,73927786.27567928
296,1612051200000,76953006.02244076
297,1612137600000,74605439.26928355
298,1612224000000,73787447.29723132
299,1612310400000,78208595.03908269
300,1612396800000,81222122.26709495
301,1612483200000,89690084.61554113
302,1612569600000,100670418.82624681
303,1612656000000,98545407.73062535
304,1612742400000,95735623.73608425
305,1612828800000,101570637.55586295
306,1612915200000,106433812.14577836
307,1613001600000,117779836.11219926
308,1613088000000,126260718.65908605
309,1613174400000,135743584.9511218
