Time,Solana Volume,Binance Volume,Cronos Volume,Ethereum Volume,Fantom Volume,Polymath Volume,Tron Volume,XRP Volume
2020-12-03,26145331.30400068,366696348.5469697,46951501.12064751,12249197831.015257,10729823.29067734,1981272.5418044853,617035240.3373024,5936378170.104812
2020-12-04,12376166.936333302,404722653.6812755,45945045.918419726,14326184164.36095,7067431.470978877,3813482.131509061,749198175.2520218,6782106960.236756
2020-12-05,10627298.671877306,341090339.91534233,42813611.34118372,11764206188.844517,5478629.294530856,1196677.2059603452,694811657.2650316,6182557946.629466
2020-12-06,10598081.573961524,277581850.8680908,37100238.80821151,11453823478.195438,4477697.206939921,1654495.948111659,727691045.2593412,7685001707.48096
2020-12-07,10468359.685002154,265602209.8179246,42729581.300195776,10010900862.848228,4878396.900161115,6576660.519050353,587735241.1725231,5608978769.602056
2020-12-08,17112369.527682714,364433924.77309805,44675227.58986921,13501656447.613894,7496706.264146265,1387884.1766383264,724909048.7368293,5817992263.594411
2020-12-09,16742998.45128931,357146579.4139781,44812090.05845852,14024278560.088686,9211016.8928301,1383470.3962158174,860881996.8907851,9778004331.334286
2020-12-10,9081181.441213774,296247774.37832355,36152802.42172645,11590043392.322668,12419472.3976275,1044822.9558955858,601080681.5216411,6957440057.227358
2020-12-11,10757763.654799256,309358142.1115438,37760865.13160928,11334198380.977062,5959236.777972914,716745.8850798636,645429632.2155341,7973256774.815366
2020-12-12,9176582.194922846,269415971.9404911,32214504.24009528,9511330147.764025,3272801.107059149,823748.0400312934,640076158.3677526,8191207377.440986
2020-12-13,10831419.615199426,306303184.774815,35176140.6841903,9082894202.250328,4994816.072753007,969149.597010669,569482172.7731882,6125622311.173101
2020-12-14,10852348.235007472,395357036.7418401,42940848.30328532,7794572085.232029,5736968.392421756,420994.5927609341,529218623.29512656,4925747725.547895
2020-12-15,25707468.385520007,341458022.6324174,48174571.083291024,10160486192.82214,4404534.144509781,604241.6561436099,663257678.3751656,5591960738.97862
