,Time,Cronos Market Cap
263,1609200000000,1331631825.9274728
264,1609286400000,1308201713.7398255
265,1609372800000,1326499255.4002862
266,1609459200000,1310395551.779758
267,1609545600000,1338073422.4500194
268,1609632000000,1401895054.057074
269,1609718400000,1369333486.515718
270,1609804800000,1455266811.2525132
271,1609891200000,1500727467.005609
272,1609977600000,1736694605.1323195
273,1610064000000,1755356145.6100845
274,1610150400000,1845190341.1826696
275,1610236800000,1886086860.7999759
276,1610323200000,1772830029.5604882
277,1610409600000,1505140023.9745026
278,1610496000000,1476537978.337947
279,1610582400000,1611607004.8695242
280,1610668800000,1733267100.094327
281,1610755200000,1636942239.034636
282,1610841600000,1742080208.5266638
283,1610928000000,1821437075.8946173
284,1611014400000,1942505062.916976
285,1611100800000,1992514735.3641949
286,1611187200000,1919534512.6357262
287,1611273600000,1647183315.2059371
288,1611360000000,1679797904.5397115
289,1611446400000,1651376540.172191
290,1611532800000,1652594060.754226
291,1611619200000,1619243805.4997568
292,1611705600000,1607873299.5769699
293,1611792000000,1483486062.4821246
294,1611878400000,1603397637.049573
295,1611964800000,1549865571.0489862
296,1612051200000,1501062967.5804937
297,1612137600000,1428164923.4387484
298,1612224000000,1391661132.8717916
299,1612310400000,1447494572.5277915
300,1612396800000,1547759579.5866747
301,1612483200000,1475535819.6407213
302,1612569600000,1569333807.8624027
303,1612656000000,1569495454.9561741
304,1612742400000,1516109776.0570862
305,1612828800000,1618067510.5776753
306,1612915200000,1662589952.4717953
307,1613001600000,1702610971.8282113
308,1613088000000,1843293743.847638
309,1613174400000,2012044408.771229
310,1613260800000,2114842593.2906628
311,1613347200000,2066327511.0451407
312,1613433600000,2004964799.789673
313,1613520000000,1962722008.914734
314,1613606400000,2349020626.321754
315,1613692800000,2807406893.100106
316,1613779200000,3206717918.075087
317,1613865600000,3248505795.6518044
318,1613952000000,3429511685.1699963
319,1614038400000,5306699945.389987
320,1614124800000,3776225772.6972733
321,1614211200000,3938896100.7297063
322,1614297600000,3785053539.1195006
323,1614384000000,3731275801.1645613
324,1614470400000,3654328459.369152
325,1614556800000,3277053504.7634015
326,1614643200000,3624676915.6874475
327,1614729600000,3725338699.9669614
328,1614816000000,3803813377.8194356
329,1614902400000,3637986925.634709
330,1614988800000,3658288087.272046
331,1615075200000,3727298977.2072105
332,1615161600000,3859047428.303068
333,1615248000000,3856619265.769851
334,1615334400000,4115248480.9899206
335,1615420800000,4364487422.623329
336,1615507200000,4785621551.522798
337,1615593600000,4822601781.278837
338,1615680000000,5018182755.070877
339,1615766400000,4737495527.242979
340,1615852800000,4479323268.032134
341,1615939200000,4950314290.51385
342,1616025600000,4979338310.422842
343,1616112000000,5611128195.38926
344,1616198400000,6161553668.656819
345,1616284800000,5504872059.101905
346,1616371200000,5609299291.049959
347,1616457600000,5364619991.780066
348,1616544000000,5369403621.611309
349,1616630400000,5511078586.724405
350,1616716800000,5169991804.917368
351,1616803200000,5350545892.456019
352,1616889600000,5172831052.642726
353,1616976000000,5127272196.467598
354,1617062400000,5509076506.840109
355,1617148800000,5568576919.02786
356,1617235200000,5448700392.639262
357,1617321600000,5557458629.57679
358,1617408000000,5789354663.000634
359,1617494400000,5479069007.158669
360,1617580800000,5736678648.168786
361,1617667200000,6209227399.497918
362,1617753600000,5842921013.830287
363,1617840000000,5218116982.650375
364,1617926400000,5488108059.917724
365,1618012800000,5684687412.797512
366,1618099200000,5892557909.791265
367,1618185600000,5811003345.6247425
368,1618272000000,5565829836.848512
369,1618358400000,5972819762.885246
370,1618444800000,6085749270.408708
371,1618531200000,6516035695.911619
372,1618617600000,6404149325.414446
373,1618704000000,5981925569.479285
374,1618790400000,5740885139.067132
375,1618876800000,5245034037.81583
376,1618963200000,5183447411.876468
377,1619049600000,5139608876.391473
378,1619136000000,4506011955.18862
379,1619222400000,4421558243.93934
380,1619308800000,4302531067.402562
381,1619395200000,4342453870.670435
382,1619481600000,4792258119.410653
383,1619568000000,4979283153.152132
384,1619654400000,4869933056.589517
385,1619740800000,4746682764.270632
386,1619827200000,5076159521.797165
387,1619913600000,4962355893.635803
388,1620000000000,4793892975.700007
389,1620086400000,4826660544.688886
390,1620172800000,4294034301.903719
391,1620259200000,4682696470.150314
392,1620345600000,4881991053.474829
393,1620432000000,4867553734.2638445
394,1620518400000,4665661496.924562
395,1620604800000,4574543698.998079
396,1620691200000,4052320945.404267
397,1620777600000,4478600477.384257
398,1620864000000,4027668289.292834
399,1620950400000,4140231250.017793
400,1621036800000,4233619558.3960686
401,1621123200000,3963594100.788557
402,1621209600000,3950694248.7927413
403,1621296000000,3670504805.11578
404,1621382400000,3766563248.884752
405,1621468800000,3153243014.7968416
406,1621555200000,3231839398.027181
407,1621641600000,3185589278.341685
408,1621728000000,3070261733.167784
409,1621814400000,2474563941.610978
410,1621900800000,3131901009.2874455
411,1621987200000,3175098637.3351483
412,1622073600000,3344979722.7654176
413,1622160000000,3305503757.5771246
414,1622246400000,2899621490.4255867
415,1622332800000,2881793176.0825973
416,1622419200000,2864688026.852145
417,1622505600000,3197752526.432456
418,1622592000000,3145864187.9224415
419,1622678400000,3296393268.3783073
420,1622764800000,3387986786.1533766
421,1622851200000,3081796213.769956
422,1622937600000,2999193264.7668104
423,1623024000000,3141439169.219648
424,1623110400000,2951829532.3674874
425,1623196800000,2895556620.336581
426,1623283200000,3140490443.9203553
427,1623369600000,2981732539.021157
428,1623456000000,2980568482.142122
429,1623542400000,2875411716.6088734
430,1623628800000,3037594049.7704773
431,1623715200000,3030342717.4366245
432,1623801600000,2988444609.281471
433,1623888000000,2885209323.422996
434,1623974400000,2884832521.4542613
435,1624060800000,2686056550.507585
436,1624147200000,2735377826.7389374
437,1624233600000,2726713279.3906
438,1624320000000,2334374316.1036553
439,1624406400000,2248740025.939413
440,1624492800000,2440631444.831992
441,1624579200000,2559485727.7628207
442,1624665600000,2415086815.3601165
443,1624752000000,2411458219.078214
444,1624838400000,2667977705.013265
