,Time,Polymath Volume
271,1609891200000,4076610.1967618256
272,1609977600000,3432715.3384464234
273,1610064000000,11366078.657610677
274,1610150400000,5079196.090433911
275,1610236800000,3490322.820783733
276,1610323200000,5456359.594102801
277,1610409600000,3032670.68257428
278,1610496000000,2242764.288684192
279,1610582400000,5409756.927321402
280,1610668800000,3085469.305549663
281,1610755200000,2844340.032268725
282,1610841600000,6254527.860496708
283,1610928000000,4315885.952608441
284,1611014400000,3801146.5171310618
285,1611100800000,3013047.811538565
286,1611187200000,6434207.869335951
287,1611273600000,3198227.970843556
288,1611360000000,2893149.135420659
289,1611446400000,7135941.870707895
290,1611532800000,3315337.2650256963
291,1611619200000,10625306.894674847
292,1611705600000,2107393.611126735
293,1611792000000,1741044.4993164956
294,1611878400000,2634308.19764569
295,1611964800000,5626126.00023515
296,1612051200000,3543173.2390575195
297,1612137600000,2562888.7493580705
298,1612224000000,2443839.4048673217
299,1612310400000,4258091.705075276
300,1612396800000,20751170.406643823
301,1612483200000,14992259.505436089
302,1612569600000,9140524.801045325
303,1612656000000,9995901.434489753
304,1612742400000,9347857.59559672
305,1612828800000,7862442.427046518
306,1612915200000,7041638.105670978
307,1613001600000,25841361.966468953
308,1613088000000,13407691.01087189
309,1613174400000,7944084.159075336
310,1613260800000,18407922.84619091
311,1613347200000,13721065.980736805
312,1613433600000,11294712.880980384
313,1613520000000,9495544.536960546
314,1613606400000,9164403.497286882
315,1613692800000,579780568.23134
316,1613779200000,73080705.75241598
317,1613865600000,61915494.773140155
318,1613952000000,24279231.411172137
319,1614038400000,26966224.106315523
320,1614124800000,17522635.746430587
321,1614211200000,51278554.30402744
322,1614297600000,25628709.557710156
323,1614384000000,15455507.107739719
324,1614470400000,23918262.70602365
325,1614556800000,26259169.11682666
326,1614643200000,86093362.25791885
327,1614729600000,27874804.68031175
328,1614816000000,38936612.147609375
329,1614902400000,100933144.50790894
330,1614988800000,16041172.790198678
331,1615075200000,23980629.955940325
332,1615161600000,20789796.82676808
333,1615248000000,24743861.193460014
334,1615334400000,33049105.643355574
335,1615420800000,29002037.73125421
336,1615507200000,47012475.996856034
337,1615593600000,32309196.615435716
338,1615680000000,7130717.028027567
339,1615766400000,8889645.152073426
340,1615852800000,76028878.14862804
341,1615939200000,13658281.005650328
342,1616025600000,11673776.667429533
343,1616112000000,5446695.521016871
344,1616198400000,4735420.974959844
345,1616284800000,52449344.84175278
346,1616371200000,35509882.60266959
347,1616457600000,8157035.652728118
348,1616544000000,13081766.126809087
349,1616630400000,7479718.344761816
350,1616716800000,6372558.159593347
351,1616803200000,4040570.538513848
352,1616889600000,26527882.293730702
353,1616976000000,8954306.111372331
354,1617062400000,16798823.994920224
355,1617148800000,7634083.554334044
356,1617235200000,7805234.099023143
357,1617321600000,6272189.93860197
358,1617408000000,6036420.148544479
359,1617494400000,12984470.794446768
360,1617580800000,5684532.242973423
361,1617667200000,8089060.213984493
362,1617753600000,12193804.819352377
363,1617840000000,14821712.547755698
364,1617926400000,8760265.953404294
365,1618012800000,13323051.579348752
366,1618099200000,10364801.625763541
367,1618185600000,25235571.72596328
368,1618272000000,5253945.446816992
369,1618358400000,6275861.65569806
370,1618444800000,12518015.132896243
371,1618531200000,5297266.456339864
372,1618617600000,6401251.742494692
373,1618704000000,16978675.769040216
374,1618790400000,6433570.318565117
375,1618876800000,26853714.87794958
376,1618963200000,14270684.44508102
377,1619049600000,5401707.042210073
378,1619136000000,14936130.256817752
379,1619222400000,8433704.632618811
380,1619308800000,15874709.900919009
381,1619395200000,4803156.707470757
382,1619481600000,6869664.491355114
383,1619568000000,5299652.311029508
384,1619654400000,9700387.85575009
385,1619740800000,5414514.170072405
386,1619827200000,13484778.286553899
387,1619913600000,8659654.895879662
388,1620000000000,3990358.4124008394
389,1620086400000,4295842.8502179785
390,1620172800000,8757778.866390266
391,1620259200000,11168224.835087989
392,1620345600000,12104835.390841965
393,1620432000000,183699078.19761437
394,1620518400000,8812528.914136566
395,1620604800000,6775756.834410749
396,1620691200000,10092063.560007783
397,1620777600000,8975616.39019527
398,1620864000000,13736730.476215143
399,1620950400000,9150160.121208956
400,1621036800000,4948979.50626551
401,1621123200000,6530841.83613376
402,1621209600000,4069749.748879367
403,1621296000000,3920077.822570229
404,1621382400000,4214287.675448956
405,1621468800000,6583672.828897243
406,1621555200000,3851213.362109899
407,1621641600000,9993362.044495156
408,1621728000000,60881266.47213652
409,1621814400000,5426928.106475079
410,1621900800000,4420698.8307040185
411,1621987200000,2522051.7147880886
412,1622073600000,2875046.463738918
413,1622160000000,28758713.902503833
414,1622246400000,7646636.269541635
415,1622332800000,4169065.830446008
416,1622419200000,2938912.7160040224
417,1622505600000,3039925.737762429
418,1622592000000,3181450.2728938363
419,1622678400000,4177009.78456827
420,1622764800000,7000360.135423955
421,1622851200000,5484002.792070577
422,1622937600000,11194845.355916228
423,1623024000000,6832884.592928844
424,1623110400000,6170230.847046987
425,1623196800000,8076537.429851244
426,1623283200000,12799793.645237634
427,1623369600000,8929531.607283244
428,1623456000000,13951407.390021173
429,1623542400000,3297183.9953490626
430,1623628800000,6394083.914770673
431,1623715200000,10928085.621426487
432,1623801600000,1977075.6806713322
433,1623888000000,4186460.6311079874
434,1623974400000,4073416.6117283106
435,1624060800000,2550003.527483995
436,1624147200000,5212436.599488093
437,1624233600000,4169403.655098681
438,1624320000000,10534480.558826514
439,1624406400000,8039921.118397455
440,1624492800000,4529922.154632403
441,1624579200000,8939926.839007864
442,1624665600000,3169161.176558505
443,1624752000000,4049144.059988271
444,1624838400000,15721595.517518507
445,1624924800000,6781125.47203767
446,1625011200000,24927708.787845947
447,1625097600000,2521654.3807986933
448,1625184000000,4404651.93843763
449,1625270400000,14288313.981915921
450,1625356800000,1478205.6654557008
451,1625443200000,9165274.713509163
452,1625529600000,1931065.158014522
453,1625616000000,3352123.7854156513
454,1625702400000,20806380.449894443
455,1625788800000,8027239.331974342
456,1625875200000,5863541.387441541
457,1625961600000,4033505.416820173
458,1626048000000,14189064.82508009
459,1626134400000,7355538.199914144
460,1626220800000,6541407.387273516
461,1626307200000,9775015.217055159
462,1626393600000,5421279.859967934
463,1626480000000,1617574.6586707716
464,1626566400000,5548066.584624689
465,1626652800000,2738734.8355387584
466,1626739200000,5044002.553309284
467,1626825600000,28950995.98989316
468,1626912000000,14922407.26961416
469,1626998400000,10714606.313325955
470,1627084800000,5414836.052479289
471,1627171200000,5570928.452658625
472,1627257600000,13280752.330949126
473,1627344000000,43388560.41056895
474,1627430400000,60112412.54957751
475,1627516800000,27904986.408777736
476,1627603200000,28304476.56336272
477,1627689600000,150260701.28464487
478,1627776000000,19290947.969976798
479,1627862400000,46128097.70978229
480,1627948800000,27784551.803871404
481,1628035200000,12450900.78150023
482,1628121600000,30886305.13463051
483,1628208000000,16348878.17750236
484,1628294400000,14568255.507465744
485,1628380800000,16250484.227264786
486,1628467200000,11322614.512101782
487,1628553600000,12502895.003251074
