,Time,Avalanche Volume
271,1624147200000,45214966.56843575
272,1624233600000,67234330.28908692
273,1624320000000,103211568.60676563
274,1624406400000,135535139.72419712
275,1624492800000,87322668.70803922
276,1624579200000,63091040.91376546
277,1624665600000,61956422.48758391
278,1624752000000,51578836.58897007
279,1624838400000,41469424.44344715
280,1624924800000,54767030.663755454
281,1625011200000,72926426.82906115
282,1625097600000,66998154.47989767
283,1625184000000,41174708.396974266
284,1625270400000,50295970.81700652
285,1625356800000,47215646.16632279
286,1625443200000,73970756.3985549
287,1625529600000,79219510.72721966
288,1625616000000,142034942.51575035
289,1625702400000,108541638.6805049
290,1625788800000,82134728.7320182
291,1625875200000,75841045.92790152
292,1625961600000,40133340.77621422
293,1626048000000,36054335.6344243
294,1626134400000,63099782.67341126
295,1626220800000,53572502.5191443
296,1626307200000,53868598.80540524
297,1626393600000,40991543.84128475
298,1626480000000,49170809.20432831
299,1626566400000,29938225.16693476
300,1626652800000,31104251.254699774
301,1626739200000,31205957.583156917
302,1626825600000,42790167.487961166
303,1626912000000,50500988.706786565
304,1626998400000,39875725.76668348
305,1627084800000,36373388.14169346
306,1627171200000,43637266.517210074
307,1627257600000,34991157.84786453
308,1627344000000,95570786.96902798
309,1627430400000,56068874.22267475
310,1627516800000,73625406.90745342
311,1627603200000,74291681.80129455
312,1627689600000,73489632.45785159
313,1627776000000,73531554.05509867
314,1627862400000,97279937.63431114
315,1627948800000,60151366.8009347
316,1628035200000,69250145.96391109
317,1628121600000,57307038.31955908
318,1628208000000,62445885.35327292
319,1628294400000,89832056.21316503
320,1628380800000,111722663.79228994
321,1628467200000,71372208.08684437
322,1628553600000,127524432.62591058
323,1628640000000,113165388.60249642
324,1628726400000,109606878.10990918
325,1628812800000,99341456.65385373
326,1628899200000,102606598.64183435
327,1628985600000,98943570.92104936
328,1629072000000,85919858.88205414
329,1629158400000,238173752.04309297
330,1629244800000,708333685.5236129
331,1629331200000,1088055292.838367
332,1629417600000,1166951815.8624976
333,1629504000000,869869763.9610019
334,1629590400000,1857695492.2130404
335,1629676800000,1091134456.6145673
336,1629763200000,1477827368.3400261
337,1629849600000,2104158288.1240711
338,1629936000000,1475815545.3671362
339,1630022400000,1161582825.3054352
340,1630108800000,1572607655.7923892
341,1630195200000,965252080.4599998
342,1630281600000,738226945.0822438
343,1630368000000,807099935.8601552
344,1630454400000,803631238.1253407
345,1630540800000,992127412.0569587
346,1630627200000,883771525.713069
347,1630713600000,1237827428.6580288
348,1630800000000,865449809.518935
349,1630886400000,709042046.2074453
350,1630972800000,1120372843.7106028
351,1631059200000,1450629735.6531146
352,1631145600000,854271381.4043615
353,1631232000000,1286851566.808635
354,1631318400000,2281863152.2853794
355,1631404800000,2453771422.743687
356,1631491200000,2662564855.1258974
357,1631577600000,2456626059.963408
358,1631664000000,1204443523.1145146
359,1631750400000,1098543372.986341
360,1631836800000,2773205453.408514
361,1631923200000,2071174275.2612329
362,1632009600000,1919255860.4752584
363,1632096000000,1742588477.3350644
364,1632182400000,2358181746.6808167
365,1632268800000,2494991964.834182
366,1632355200000,2405525026.0147896
367,1632441600000,2291368275.475945
368,1632528000000,2180885292.8349457
369,1632614400000,996878876.3231668
370,1632700800000,1235523204.6494215
371,1632787200000,1164837458.8942347
372,1632873600000,927139588.1510882
373,1632960000000,1296556406.2210202
374,1633046400000,984994428.3216401
375,1633132800000,1077107269.7595532
376,1633219200000,1036199927.9040548
377,1633305600000,818103603.5694607
378,1633392000000,892718203.803919
379,1633478400000,760243140.5486125
380,1633564800000,920546801.2039217
381,1633651200000,862127896.2243227
382,1633737600000,776023722.2976528
383,1633824000000,318424321.4981206
384,1633910400000,438618802.40447694
385,1633996800000,576974535.7793095
386,1634083200000,676331252.8608974
387,1634169600000,596717576.3324958
388,1634256000000,516636783.3832301
389,1634342400000,549140651.9149122
390,1634428800000,726802965.36091
391,1634515200000,384762145.5272643
392,1634601600000,298193732.8705844
393,1634688000000,365344331.1019104
394,1634774400000,521653916.7088918
395,1634860800000,782051341.3798083
396,1634947200000,1177969976.9238229
397,1635033600000,647412228.5454504
398,1635120000000,486222248.7581017
399,1635206400000,548267260.1339349
400,1635292800000,917253989.8067561
401,1635379200000,938315469.3947822
402,1635465600000,589667245.9443852
403,1635552000000,380891797.16348124
404,1635638400000,335707849.4482871
405,1635724800000,384088099.3169964
406,1635811200000,550190112.3187057
407,1635897600000,428221495.5152083
408,1635984000000,1014395091.231055
409,1636070400000,1146238446.5848777
410,1636156800000,617052844.6023481
411,1636243200000,513939485.39163196
412,1636329600000,1358395041.6793003
413,1636416000000,2004704771.9471376
414,1636502400000,800792615.3645178
415,1636588800000,1301955114.1816463
416,1636675200000,653430020.4695531
417,1636761600000,655006947.2285839
418,1636848000000,1099173474.0746083
419,1636934400000,1132604956.8495865
420,1637020800000,1216611402.3586364
421,1637107200000,1809870292.8006043
422,1637193600000,2296426122.4852767
423,1637280000000,1879479473.070595
424,1637366400000,1483215464.690538
425,1637452800000,2148220654.2552905
426,1637539200000,3310625645.9637036
427,1637625600000,3060244824.5988865
428,1637712000000,1678257066.8234677
429,1637798400000,1768376662.50082
430,1637884800000,2014060206.379828
431,1637971200000,1602006698.5256975
432,1638057600000,1067712221.8816617
433,1638144000000,1302494619.7159152
434,1638230400000,1139190583.1530163
435,1638316800000,1692359874.6702082
436,1638403200000,1293363181.3968153
437,1638489600000,1073147059.5256082
438,1638576000000,1250553379.185763
439,1638662400000,1937571931.598823
440,1638748800000,1127359634.1229846
441,1638835200000,1687348667.7846553
442,1638921600000,997182321.1663718
443,1639008000000,677105525.6599268
444,1639094400000,854254384.9994344
445,1639180800000,915438711.1554718
446,1639267200000,732753069.5659871
447,1639353600000,533128334.86962855
448,1639440000000,1067558284.334524
449,1639526400000,982803965.9467802
450,1639612800000,2313502471.7087927
451,1639699200000,1863618136.5827672
452,1639785600000,2409028609.742276
453,1639872000000,1543828507.8958964
454,1639958400000,980557832.7237588
455,1640044800000,1739271955.0093298
456,1640131200000,1554964906.2012937
457,1640217600000,1259783814.2381399
458,1640304000000,1226690744.4283879
459,1640390400000,994358249.8601887
460,1640476800000,800347079.3187648
461,1640563200000,878605004.2960683
462,1640649600000,897938968.4805635
463,1640736000000,1385694264.0315642
464,1640822400000,1057485216.6367801
465,1640908800000,961843290.9455285
466,1640995200000,1284949876.1474845
467,1641081600000,729756931.8571017
468,1641168000000,726073344.2588211
469,1641254400000,759170312.7669234
470,1641340800000,870797728.0167084
471,1641427200000,1164966360.2988079
472,1641513600000,861987666.4147246
473,1641600000000,1082203230.1479845
474,1641686400000,905127606.1225137
475,1641772800000,808404528.9359772
476,1641859200000,1057285447.2015418
477,1641945600000,682963668.5279102
478,1642032000000,908538243.5785203
479,1642118400000,733053265.7440205
480,1642204800000,617027307.3641539
481,1642291200000,481150093.0742437
482,1642377600000,478918891.6117259
483,1642464000000,574515252.3004528
484,1642550400000,492077219.29326475
485,1642636800000,513929559.85847765
486,1642723200000,528582436.5349151
487,1642809600000,1185727532.4319305
488,1642896000000,1387501444.1788173
489,1642982400000,917185256.2088094
490,1643068800000,1091805049.846834
491,1643155200000,938395788.999693
492,1643241600000,1134178090.9227676
493,1643328000000,872727504.8365759
494,1643414400000,629457552.1525306
495,1643500800000,666456963.6922847
496,1643587200000,498620309.4172563
497,1643673600000,666682025.081346
498,1643760000000,805386721.8682183
499,1643846400000,837755498.2193935
500,1643932800000,665952175.4586505
501,1644019200000,923112809.2235307
502,1644105600000,786295264.9180106
503,1644192000000,475873376.3651101
504,1644278400000,859468140.6765712
505,1644364800000,1885896785.9861736
506,1644451200000,928171701.5065773
507,1644537600000,1232878398.48341
508,1644624000000,1007497662.1492882
509,1644710400000,849647460.848177
510,1644796800000,529755145.9971326
511,1644883200000,684448631.4462265
512,1644969600000,970909305.2598561
513,1645056000000,1333420687.072834
514,1645142400000,1383010676.7536752
515,1645228800000,957924969.9419198
516,1645315200000,636547008.3074145
517,1645401600000,765815215.2497256
518,1645488000000,1247817729.5230663
519,1645574400000,1024212300.2540458
520,1645660800000,1294350940.2904615
521,1645747200000,2333967745.423187
522,1645833600000,1478105195.4363196
523,1645920000000,1091134381.363367
524,1646006400000,1182335803.249564
525,1646092800000,1381432825.12984
526,1646179200000,1831128371.972589
527,1646265600000,1302568066.0976186
528,1646352000000,1220049359.458512
529,1646438400000,1420126801.3780692
530,1646524800000,763499420.9062598
531,1646611200000,716010210.6086961
532,1646697600000,905588652.9841592
533,1646784000000,1072935854.6159312
534,1646870400000,1349934553.223157
535,1646956800000,952703727.2442709
536,1647043200000,1167140208.8914454
537,1647129600000,465679025.9340313
538,1647216000000,486634276.53617734
539,1647302400000,999390314.2554866
540,1647388800000,786640492.6313237
541,1647475200000,915621225.4831038
542,1647561600000,1363739727.978561
543,1647648000000,1402596714.7191718
544,1647734400000,1351350651.285445
545,1647820800000,1028609342.7501998
546,1647907200000,1501322464.0349138
547,1647993600000,1318049831.20307
548,1648080000000,1042780757.5433183
549,1648166400000,1118884240.8874075
550,1648252800000,1003935169.2375883
551,1648339200000,564325205.6338288
552,1648425600000,645747699.6517264
553,1648512000000,1552735076.911306
554,1648598400000,1402031175.3276286
555,1648684800000,1562475923.3481615
556,1648771200000,1952352331.1073666
557,1648857600000,1508156835.0120423
558,1648944000000,1401882400.4857926
559,1649030400000,1221707937.077418
560,1649116800000,1095688964.4181812
561,1649203200000,1033422920.3627862
562,1649289600000,1603898087.2935352
563,1649376000000,1357968821.355999
564,1649462400000,1355731990.6838064
565,1649521622000,811487189.7234977
