,Time,Ethereum Market Cap
247,1607817600000,64655118180.3175
248,1607904000000,67134794851.681
249,1607990400000,66629545532.422066
250,1608076800000,67041487308.61978
251,1608163200000,72301103108.2225
252,1608249600000,72955533475.1786
253,1608336000000,74135277407.04251
254,1608422400000,75092677592.1047
255,1608508800000,72618785345.5407
256,1608595200000,69545799024.42459
257,1608681600000,72327947935.45154
258,1608768000000,67468061368.13851
259,1608854400000,69867514814.01097
260,1608940800000,71422858091.1277
261,1609027200000,72391403990.8806
262,1609113600000,78833072066.0927
263,1609200000000,83575563402.66385
264,1609286400000,83885243123.81543
265,1609372800000,85790178023.44371
266,1609459200000,84037694047.35515
267,1609545600000,83294083323.20639
268,1609632000000,88595346035.55156
269,1609718400000,112525376104.65454
270,1609804800000,116693162132.74934
271,1609891200000,125112930227.72487
272,1609977600000,137306782958.13135
273,1610064000000,139084939665.71393
274,1610150400000,139145700786.27826
275,1610236800000,147397891905.5662
276,1610323200000,144775179901.584
277,1610409600000,124728988376.03725
278,1610496000000,119330774034.78914
279,1610582400000,128582223216.03041
280,1610668800000,138240285220.32953
281,1610755200000,133962341262.37857
282,1610841600000,141369013157.282
283,1610928000000,142087383372.707
284,1611014400000,143378258827.21744
285,1611100800000,157929393133.71045
286,1611187200000,156457140894.28006
287,1611273600000,130713677392.4996
288,1611360000000,140271927461.8329
289,1611446400000,140773242456.76056
290,1611532800000,158167202909.14236
291,1611619200000,151940348541.692
292,1611705600000,155446593758.92108
293,1611792000000,141774137750.6659
294,1611878400000,152877389472.9714
295,1611964800000,158354114909.26474
296,1612051200000,157410718624.21973
297,1612137600000,150322722005.1637
298,1612224000000,155894407853.50046
299,1612310400000,174557101587.54166
300,1612396800000,189023794263.7008
301,1612483200000,183982328605.4526
302,1612569600000,196424150368.47876
303,1612656000000,192164042318.95844
304,1612742400000,184109385158.1494
305,1612828800000,198719063426.16904
306,1612915200000,203102939465.473
307,1613001600000,199919369275.37125
308,1613088000000,203774834938.25632
309,1613174400000,210344318124.73236
310,1613260800000,207890872554.91016
311,1613347200000,207057026271.03055
312,1613433600000,203972439068.60135
313,1613520000000,204528599567.24704
314,1613606400000,211713928319.03534
315,1613692800000,221863277318.4042
316,1613779200000,226038410300.14252
317,1613865600000,221404545098.43417
318,1613952000000,223004310602.46854
319,1614038400000,204731064486.9056
320,1614124800000,179691686731.1511
321,1614211200000,185843232352.39114
322,1614297600000,168658293547.98462
323,1614384000000,167151176870.9801
324,1614470400000,167833687528.28204
325,1614556800000,163289758568.53607
326,1614643200000,179885012253.05722
327,1614729600000,172017777678.2973
328,1614816000000,182133382817.63593
329,1614902400000,177647949967.0106
330,1614988800000,176268279969.45792
331,1615075200000,191505024384.2956
332,1615161600000,198695961501.5439
333,1615248000000,211132676701.59906
334,1615334400000,214412034435.93906
335,1615420800000,207916309215.61444
336,1615507200000,210018342198.09778
337,1615593600000,203771682506.1516
338,1615680000000,222405459430.76758
339,1615766400000,215367930757.887
340,1615852800000,207264868908.9888
341,1615939200000,207059072434.72623
342,1616025600000,210150824167.56415
343,1616112000000,205022936620.98633
